domain_name,agency_organization,maintaining_office,use_case,agency_type,branch,state,comments,link,date_added,city,security_contact_email
bellefonte.net,,,,local,,Pennsylvania,"Borough of Bellefonte, PA -- Note added 7/1/14 12:50",http://bellefonte.net/,6/6/13 18:08,,
belleplaineiowa.us,,,,local,,Iowa,"Bell Plaine, IA -- Note added 8/25/15 19:57",http://www.belleplaineiowa.us/,6/6/13 18:08,,
belleplainemn.com,,,,local,,Minnesota,"City of Belle Plaine, MN -- Note added 3/24/15 1:27",http://www.belleplainemn.com/,6/6/13 18:08,,
bellerosevillage.org,,,,local,,New York,"Village of Bellerose, NY -- Note added 8/13/14 16:59",http://bellerosevillage.org/,6/6/13 18:08,,
belleterre.us,,,,local,,New York,"Village of Belle Terre, NY -- Note added 6/8/15 12:11",http://belleterre.us/Home/tabid/115/Default.aspx,6/6/13 18:08,,
belleville.net,,,,local,,Illinois,"City of Belleville, IL -- Note added 7/1/14 19:16",http://belleville.net/,6/6/13 18:08,,
bellevillenj.org,,,,local,,New Jersey,Requires 'www' to resolve. -- Note added 6/30/14 16:25,http://www.bellevillenj.org/,6/6/13 18:08,,
bellevillewi.org,,,,local,,Wisconsin,"Village of Belleville, WI -- Note added 7/25/14 5:15",http://www.bellevillewi.org/,6/6/13 18:08,,
bellevue.net,,,,local,,Nebraska,"City of Bellevue, NE -- Note added 12/6/13 18:49",http://bellevue.net/,6/6/13 18:08,,
bellevuepa.org,,,,local,,Pennsylvania,"Borough of Bellevue, PA -- Note added 7/1/14 12:55",http://www.bellevuepa.org/,6/6/13 18:08,,
bellevueky.org,,,,local,,Kentucky,"bellevue, Ky -- Note added 8/27/15 15:11",http://bellevueky.org/,6/6/13 18:08,,
bellflower.org,,,,local,,California,"City of Bellflower, CA -- Note added 7/19/13 13:44",http://bellflower.org/home/index.asp,6/6/13 18:08,,
bellgardens.org,,,,local,,California,municipal website -- Note added 3/4/15 20:56,http://www.bellgardens.org,6/6/13 18:08,,
bellinghamma.org,,,,local,,Massachusetts,"Town of Bellingham, MA -- Note added 8/13/14 17:00",http://www.bellinghamma.org/Pages/index,6/6/13 18:08,,
bellmawr.com,,,,local,,New Jersey,"Town of Bellmawr, NJ -- Note added 7/19/13 17:06",http://www.bellmawr.com/,6/6/13 18:08,,
bellportvillage.org,,,,local,,New York,"Village of Bellport, NY -- Note added 11/20/13 16:56",http://www.bellportvillage.org/ny/,6/6/13 18:08,,
belmar.com,,,,county,,New Jersey,"Belmar, NJ (Monmouth County) -- Note added 6/30/14 12:24",http://belmar.com/,6/6/13 18:08,,
belmontcountyohio.org,,,,county,,Ohio,"Belmont County, OH -- Note added 3/10/14 16:31",http://www.belmontcountyohio.org/,6/6/13 18:08,,
belmontnh.org,,,,local,,New Hampshire,"belmont, nh -- Note added 8/28/15 18:37",http://belmontnh.org/,6/6/13 18:08,,
beloitks.org,,,,local,,Kansas,"City of Beloit, KS -- Note added 6/30/14 6:24",http://www.beloitks.org/,6/6/13 18:08,,
belton.org,,,,local,,Missouri,"City of Belton, MO. -- Note added 9/4/15 12:48",http://belton.org/,6/6/13 18:08,,
belview.org,,,,local,,Minnesota,"City of Belview, MN -- Note added 8/13/14 17:01",http://www.belview.org/default.aspx,6/6/13 18:08,,
bemidjitownship.com,,,,local,,Minnesota,"Bemidiji Township, MN -- Note added 3/24/15 1:36",http://www.bemidjitownship.com/,6/6/13 18:08,,
benavon.com,,,,local,,Pennsylvania,"Borough of Ben Avon, PA -- Note added 7/1/14 12:56",http://benavon.com/,6/6/13 18:08,,
benavonheightsborough.com,,,,local,,Pennsylvania,"Borough of Ben Avon Heights, PA -- Note added 7/1/14 12:58",http://benavonheightsborough.com/,6/6/13 18:08,,
benefeds.com,Office of Personnel Management (OPM),,Website - open to public,federal,unspecified,,"BENEFEDS, Federal Employees Dental and Vision Insurance Program, U.S. http://www.opm.gov/ Office of Personnel Management -- Note added 12/2/13 19:39",https://www.benefeds.com/,12/2/13 19:36,,
benhillcounty.com,,,,county,,Georgia,"Ben Hill County, Ga -- Note added 8/25/15 14:09",http://benhillcounty.com/,6/6/13 18:08,,
bennertownship.org,,,,local,,Pennsylvania,"Benner Township, Centre County, PA -- Note added 9/23/15 13:06",,9/23/15 13:06,,
bennettsvillesc.com,,,,local,,South Carolina,"bennettsville, sc -- Note added 8/28/15 13:19",http://bennettsvillesc.com/,6/6/13 18:08,,
bennington.org,,,,local,,Vermont,"Town of Bennington, VT -- Note added 8/13/14 5:24",http://bennington.org/,6/6/13 18:08,,
bensalempa.gov,,,,local,,Pennsylvania,"Bensalem Township, Bucks County, PA -- Note added 9/23/15 12:59",http://www.bensalempa.gov/,6/6/13 18:08,,
bensenville.il.us,,,,local,,Illinois,"Village of Bensenville, IL -- Note added 6/6/13 18:09",http://bensenville.il.us/,6/6/13 18:09,,
benson-vt.com,,,,local,,Vermont,"Town of Benson, VT -- Note added 8/13/14 5:24",http://benson-vt.com/,6/6/13 18:08,,
bensonmn.org,,,,local,,Minnesota,"City of Benson, MN -- Note added 3/24/15 1:38",http://www.bensonmn.org/,6/6/13 18:08,,
bentonvillear.com,,,,local,,Arkansas,"City of Bentonville, AR -- Note added 12/10/14 6:42",http://bentonvillear.com/,6/6/13 18:08,,
nchistoricsites.org,,,,local,,North Carolina,"Battle of Bentonville, NC -- Note added 9/11/15 17:55",http://www.nchistoricsites.org/bentonvi/,6/6/13 18:08,,
bentonwi.us,,,,local,,Wisconsin,"Village of Benton, WI -- Note added 3/20/14 17:21",http://www.bentonwi.us/,6/6/13 18:08,,
beresfordsd.com,,,,local,,South Dakota,"City of Beresford, SD n  -- Note added 7/17/14 5:10",http://www.beresfordsd.com/,6/6/13 18:08,,
bergenfieldboro.com,,,,county,,New Jersey,"Borough of Bergenfield, NJ (Bergen County) -- Note added 6/30/14 12:26",http://bergenfieldboro.com/,6/6/13 18:08,,
berkeley-lake.com,,,,local,,Georgia,"City of Berkeley Lake, GA -- Note added 6/6/13 18:09",http://berkeley-lake.com/,6/6/13 18:09,,
berkeleycountycomm.org,,,,county,,West Virginia,"Berkeley County, WV -- Note added 7/24/14 5:22",http://berkeleycountycomm.org/,6/6/13 18:08,,
berkeleyheightstwp.com,,,,local,,New Jersey,Berkley Heights Township (Union County) -- Note added 7/3/14 17:05,http://berkeleyheightstwp.com/,6/6/13 18:08,,
berkleymich.org,,,,local,,Michigan,"berkley, mi -- Note added 9/2/15 20:01",http://berkleymich.org/,6/6/13 18:08,,
berkshireny.net,,,,local,,New York,"Town of Berkshire, NY -- Note added 6/28/13 16:57",http://www.berkshireny.net/,6/6/13 18:08,,
berkshireplanning.org,,,,regional,,Massachusetts,Berkshire Regional Planning Commission -- Note added 8/26/15 15:37,http://berkshireplanning.org/,6/6/13 18:08,,
berkshiretwp.org,,,,local,,Ohio,"Berkshire Township, Delaware, OH -- Note added 3/10/14 16:33",http://berkshiretwp.org/,6/6/13 18:08,,
berlinnj.org,,,,local,,New Jersey,"Borough of Berlin, NJ -- Note added 7/23/14 13:09",http://berlinnj.org/,6/6/13 18:08,,
berlintwp.com,,,,local,,New Jersey,"Township of Berlin, NJ (Incorporated April 11, 1910) -- Note added 7/7/14 18:57",http://berlintwp.com/,6/6/13 18:08,,
berlinvt.org,,,,local,,Vermont,"Town of Berlin, VT -- Note added 8/13/14 5:25",http://berlinvt.org/,6/6/13 18:08,,
bernards.org,,,,local,,New Jersey,Bernards Township (chartered 1760 -Somerset County) -- Note added 7/3/14 17:18,http://bernards.org/,6/6/13 18:08,,
bernardsvilleboro.org,,,,county,,New Jersey,"Borough of Bernardsville, NJ (Somerset County -- Note added 7/3/14 17:21",http://www.bernardsvilleboro.org/,6/6/13 18:08,,
bernicela.org,,,,local,,Louisiana,"Bernice, La -- Note added 8/24/15 13:56",http://bernicela.org/,6/6/13 18:08,,
berriencounty.org,,,,county,,Michigan,"berrien county, mi -- Note added 9/2/15 20:01",http://berriencounty.org/,6/6/13 18:08,,
berryhilltn.org,,,,local,,Tennessee,"City of Berry Hill, TN -- Note added 6/6/13 18:09",http://berryhilltn.org/,6/6/13 18:09,,
berwickborough.org,,,,local,,Pennsylvania,"Borough of Berwick, PA -- Note added 7/1/14 13:00",http://berwickborough.org/,6/6/13 18:08,,
berwickmaine.org,,,,local,,Maine,"berwick, maine -- Note added 8/27/15 17:58",http://www.berwickmaine.org/,6/6/13 18:08,,
berwicktownship.com,,,,local,,Pennsylvania,"Berwick Township, Adams County, PA -- Note added 9/23/15 13:06",,9/23/15 13:06,,
berwyn-heights.com,,,,local,,Maryland,"Berwyn Heights, MD -- Note added 5/2/14 20:08",http://www.berwyn-heights.com,6/6/13 18:08,,
bessemercity.com,,,,local,,North Carolina,"bessemer city, nc -- Note added 9/11/15 18:19",http://bessemercity.com/,6/6/13 18:08,,
bethalto.com,,,,local,,Illinois,"Village of Bethalto, IL -- Note added 7/1/14 19:17",http://bethalto.com/,6/6/13 18:08,,
bethanymo.com,,,,local,,Missouri,"City of Bethany, MO -- Note added 11/19/13 13:16",http://www.bethanymo.com/,11/19/13 13:16,,
bethelmaine.org,,,,local,,Maine,"Town of Bethel, ME -- Note added 8/13/14 17:30",http://www.bethelmaine.org/pages/index,6/6/13 18:08,,
bethelpark.net,,,,local,,Pennsylvania,"Municipality of Bethel Park, PA -- Note added 7/1/14 13:01",http://www.bethelpark.net/,6/6/13 18:08,,
betheltownship.org,,,,local,,Ohio,"Bethel Township, Miami County, OH -- Note added 3/10/14 16:35",http://betheltownship.org/,6/6/13 18:08,,
bethelvt.com,,,,local,,Vermont,"Bethel Historical Society, VT -- Note added 8/13/14 5:26",http://bethelvt.com/,6/6/13 18:08,,
bethlehemnh.org,,,,local,,New Hampshire,"Town of Bethlehem, NH -- Note added 6/28/13 18:15",http://bethlehemnh.org/,6/28/13 18:15,,
bethlehemnj.org,,,,local,,New Jersey,"Bethlehem Township, NJ -- Note added 6/28/13 16:38",http://bethlehemnj.org/,6/6/13 18:08,,
bethlehemtwp.com,,,,local,,Pennsylvania,"Bethlehem Township, PA -- Note added 7/1/14 13:03",http://bethlehemtwp.com/,6/6/13 18:08,,
bettendorf.org,,,,local,,Iowa,"Bettendorf, IA -- Note added 8/25/15 19:58",http://bettendorf.org/,6/6/13 18:08,,
beulahnd.org,,,,local,,North Dakota,"City of Beulah, ND -- Note added 7/17/14 6:12",http://www.beulahnd.org/,6/6/13 18:08,,
beverlyhills.org,,,,local,,California,municipal website -- Note added 3/4/15 21:06,http://beverlyhills.org/,6/6/13 18:08,,
bexar.org,,,,county,,Texas,"Bexar County, TX -- Note added 3/3/15 6:43",http://www.bexar.org/,6/6/13 18:08,,
bexley.org,,,,local,,Ohio,"City of Bexley, OH -- Note added 3/10/14 16:37",http://www.bexley.org/,6/6/13 18:08,,
bgky.org,,,,local,,Kentucky,"bowling green, ky -- Note added 8/27/15 15:12",http://bgky.org/,6/6/13 18:08,,
bgohio.org,,,,local,,Ohio,"City of Bowling Green, OH -- Note added 3/10/14 16:38",http://bgohio.org/,6/6/13 18:08,,
biddefordmaine.org,,,,local,,Maine,"biddeford, maine -- Note added 8/27/15 17:58",http://www.biddefordmaine.org/,6/6/13 18:08,,
bie.edu,Department of the Interior,,,federal,unspecified,,The Bureau of Indian Education’s (BIE) bie.edu is an Indian education website. The BIE is institutionally accredited by the U.S. Department of Education to own and operate the .edu domain to align with the educational mission of the BIE.,https://bie.edu/,1/7/14 - updated 02/03/2020,,
clerk.bienvilleparish.org,,,,county,,Louisiana,Bienville Parish (LA) Clerk's Office -- Note added 8/13/14 17:25,http://clerk.bienvilleparish.org,6/6/13 18:08,,
big-valley.net,,,,local,,California,REVISIT - http://big-valley.net and http://www.big-valley.net both redirect to the tribe's Outlook web access. No homepage was found. -- Note added 12/4/13 19:41,,6/6/13 18:08,,
bigfalls.govoffice.com,,,,local,,Minnesota,"City of Big Falls, MN -- Note added 1/13/14 19:35",http://www.bigfalls.govoffice.com/,6/6/13 18:09,,
biggs.org,,,,local,,California,School district website -- Note added 3/4/15 21:34,,6/6/13 18:08,,
biglakemn.org,,,,local,,Minnesota,"City of Big Lake, MN -- Note added 3/24/15 1:41",http://www.biglakemn.org/,6/6/13 18:08,,
biglaketownship.com,,,,local,,Minnesota,"Town of Big Lake, MN; Big Lake Township, MN -- Note added 3/24/15 1:43",http://www.biglaketownship.com/,6/6/13 18:08,,
bigsandyrancheria.com,,,,native_sovereign_nation_tribal,,,Western Mono Indian tribe -- Note added 3/5/15 16:10,http://www.bigsandyrancheria.com/,6/6/13 18:08,,
bigstonecounty.org,,,,county,,Minnesota,"Big Stone County, MN -- Note added 3/24/15 1:46",http://www.bigstonecounty.org/,6/6/13 18:08,,
bigstonegap.org,,,,local,,Virginia,"Town of Big Stone Gap, VA -- Note added 6/6/14 13:46",http://bigstonegap.org/,6/6/13 18:08,,
biloxi.ms.us,,,,local,,Mississippi,"City of Biloxi, MS -- Note added 7/8/14 13:04",http://www.biloxi.ms.us/,6/6/13 18:08,,
biltmoreforest.org,,,,local,,North Carolina,"Town of Biltmore Forest, NC -- Note added 1/15/14 12:12",http://www.biltmoreforest.org/,1/15/14 12:12,,
biltmoreforesttownhall.homestead.com,,,,local,,North Carolina,"Town of Biltmore Forest, NC -- Note added 1/15/14 12:11",http://biltmoreforesttownhall.homestead.com/,6/6/13 18:08,,
bingenwashington.org,,,,local,,Washington,"City of Bingen, WA -- Note added 9/12/14 5:25",http://bingenwashington.org/,6/6/13 18:08,,
binghamfarms.org,,,,local,,Michigan,"bingham farms, mi -- Note added 9/2/15 20:02",http://binghamfarms.org/,6/6/13 18:08,,
binghammaine.org,,,,local,,Maine,"bingham, maine -- Note added 8/27/15 17:59",http://www.binghammaine.org/index.php,6/6/13 18:08,,
birdislandcity.com,,,,local,,Minnesota,"City of Bird Island, MN -- Note added 3/24/15 1:48",http://birdislandcity.com/wordpress/,6/6/13 18:08,,
bismarck.org,,,,local,,North Dakota,"City of Bismark, ND -- Note added 7/18/13 12:52",http://bismarck.org/,6/6/13 18:08,,
bismarckairport.com,,,,local,,North Dakota,"Bismark Airport - operated by the City of Bismark, ND -- Note added 7/18/14 5:21",http://bismarckairport.com/,6/6/13 18:09,,
bixby.com,,,,local,,Oklahoma,"City of Bixby, OK -- Note added 11/22/13 14:13",http://www.bixby.com/,6/6/13 18:08,,
blackcreektownship.org,,,,local,,Pennsylvania,"Black Creek Township, Luzerne County, PA -- Note added 9/23/15 13:06",,9/23/15 13:06,,
blackduckmn.com,,,,local,,Minnesota,"City of Blackduck, MN -- Note added 3/24/15 1:50",http://www.blackduckmn.com/,6/6/13 18:08,,
blackearthwisconsin.com,,,,local,,Wisconsin,"Village of Black Earth, WI -- Note added 7/25/14 5:16",http://www.blackearthwisconsin.com/,6/6/13 18:08,,
tribalnations.mt.gov,,,,native_sovereign_nation_tribal,,Montana,"Montana Governor's Office of Indian AffairsBlackfeet Nation, MT -- Note added 3/2/15 6:28",http://tribalnations.mt.gov/blackfeet,6/6/13 18:08,,
blackfordcounty.com,,,,county,,Indiana,"Blackford County, IN -- Note added 7/25/13 14:56",http://blackfordcounty.com/,7/25/13 14:56,,
blackriverfalls.com,,,,local,,Wisconsin,"City of Black River Falls, WI -- Note added 7/25/14 5:18",http://blackriverfalls.com/,6/6/13 18:08,,
blackriverny.org,,,,local,,New York,"Village of Black River, NY -- Note added 6/17/15 16:24",http://www.blackriverny.org/,6/6/13 18:08,,
blacksburg.va.us,,,,local,,Virginia,"Town of Blacksburg, VA -- Note added 5/30/14 13:44",http://blacksburg.va.us/,6/6/13 18:08,,
bladennc.govoffice3.com,,,,county,,North Carolina,"Bladen County, NC -- Note added 7/25/13 15:01",http://www.bladennc.govoffice3.com/,6/6/13 18:08,,
blaine.okcounties.org,,,,county,,Oklahoma,"Blaine County, OK -- Note added 8/2/13 14:46",http://blaine.okcounties.org/,8/2/13 14:46,,
blairco.org,,,,county,,Pennsylvania,"Blair County, PA -- Note added 6/12/13 19:08",http://blairco.org/Pages/default.aspx,6/6/13 18:08,,
blairstown-nj.org,,,,local,,New Jersey,"Blairstown, NJ (Warren County) -- Note added 7/23/14 13:10",http://blairstown-nj.org/,6/6/13 18:08,,
bleckley.org,,,,local,,Georgia,"Bleckley, Ga -- Note added 8/25/15 14:10",http://bleckley.org/,6/6/13 18:08,,
blmgrove.com,,,,local,,Wisconsin,"Town of Blooming Grove, WI -- Note added 7/25/14 5:19",http://blmgrove.com/,6/6/13 18:08,,
bloomfieldct.org,,,,local,,Connecticut,"Town of Bloomfield, CT -- Note added 12/15/14 6:15",http://bloomfieldct.org/Plugs/home.aspx,6/6/13 18:08,,
bloomfieldhillsmi.net,,,,local,,Michigan,"bloomfield hills, mi -- Note added 9/2/15 20:02",http://bloomfieldhillsmi.net/,6/6/13 18:08,,
bloomfieldnm.com,,,,local,,New Mexico,"City of Bloomfield, NM -- Note added 6/6/13 18:09",http://bloomfieldnm.com/,6/6/13 18:09,,
bloomfieldny.org,,,,local,,New York,"Village of Bloomfield, NY -- Note added 6/17/15 16:25",http://bloomfieldny.org/default.html,6/6/13 18:08,,
bloomfieldtownship.org,,,,local,,Indiana,"Bloomfield Township, In -- Note added 8/27/15 14:15",http://www.bloomfieldtownship.org/,6/6/13 18:08,,
bloomfieldtwp.org,,,,local,,Michigan,"bloomfield township, mi -- Note added 9/2/15 20:03",http://www.bloomfieldtwp.org/,6/6/13 18:08,,
bloomfieldtwpnj.com,,,,local,,New Jersey,"Township of Bloomfield, NJ (Essex County) -- Note added 7/3/14 17:36",http://bloomfieldtwpnj.com/,6/6/13 18:08,,
bloomingdale-ga.com,,,,local,,Georgia,"City of Bloomingdale, Ga -- Note added 8/25/15 14:10",http://www.bloomingdale-ga.com/,6/6/13 18:08,,
bloomingdalenj.org,,,,local,,New Jersey,"bloomingdale, nj -- Note added 9/15/15 18:55",http://bloomingdalenj.org/,6/6/13 18:08,,
bloomingprairie.com,,,,local,,Minnesota,"City of Blooming Prairie, MN -- Note added 3/24/15 1:53",http://www.bloomingprairie.com/,6/6/13 18:08,,
bloomsburgpa.org,,,,local,,Pennsylvania,"Town of Bloomsburg, PA -- Note added 7/1/14 13:06",http://bloomsburgpa.org/,6/6/13 18:08,,
bloomsburynewjersey.com,,,,local,,New Jersey,"Bloomsbury, NJ -- Note added 9/15/15 18:55",http://bloomsburynewjersey.com/,6/6/13 18:08,,
blossburg.org,,,,local,,Pennsylvania,"Borough of Blossburg, PA -- Note added 7/1/14 13:07",http://blossburg.org/,6/6/13 18:08,,
blueash.com,,,,local,,Ohio,"City of Blue Ash, OH -- Note added 3/10/14 16:39",http://blueash.com/,6/6/13 18:08,,
bluefieldva.org,,,,local,,Virginia,"Town of Bluefield, VA -- Note added 5/30/14 13:45",http://bluefieldva.org/,6/6/13 18:08,,
blueisland.org,,,,local,,Illinois,"City of Blue Island, IL -- Note added 7/5/13 17:58",http://www.blueisland.org/,6/6/13 18:08,,
bluemoundsvillage.com,,,,local,,Wisconsin,"Village of Blue Mounds, WI -- Note added 3/20/14 17:25",http://www.bluemoundsvillage.com/,6/6/13 18:09,,
bluespringsgov.com,,,,local,,Missouri,"City of Blue Springs, MO. n  -- Note added 9/4/15 13:00",http://bluespringsgov.com/,6/6/13 18:08,,
bluffdale.com,,,,local,,Utah,"City of Bluffdale, UT -- Note added 8/19/14 4:59",http://bluffdale.com/control.php,6/6/13 18:08,,
bmbt.org,,,,state,,North Carolina,North Carolina Board of Massage & Bodywork Therapy -- Note added 9/11/15 18:20,http://bmbt.org/,6/6/13 18:08,,
bmcnc.org,,,,local,,North Carolina,Black Mountain Neuro-Medical Treatment Center -- Note added 7/24/13 15:21,http://bmcnc.org/,6/6/13 18:08,,
boardmantwp.com,,,,local,,Ohio,"Boardman Township, Boardman, OH -- Note added 3/10/14 16:43",http://boardmantwp.com/,6/6/13 18:08,,
bobber.info,U.S. Army Corps of Engineers,,,federal,unspecified,,"Bobber, the official dog of the US Army Corps of Engineer's National Water Safety Program (watersafety.usace.army.mil) -- Note added 6/6/13 18:08",,6/6/13 18:08,,
bogalusa.org,,,,local,,Louisiana,"Bogulasa, LA -- Note added 8/24/15 13:57",http://bogalusa.org/,6/6/13 18:08,,
boggstownship.org,,,,local,,Pennsylvania,"Boggs Township, Centre County, PA -- Note added 9/23/15 13:00",http://www.boggstownship.org/,6/6/13 18:08,,
bogotaonline.org,,,,local,,New Jersey,"Borough of Bogota, NJ -- Note added 7/25/13 15:53",http://www.bogotaonline.org/,6/6/13 18:08,,
cityofbsl.org,,,,local,,North Carolina,"boiling spring lakes, nc -- Note added 9/11/15 18:24",http://www.cityofbsl.org/,6/6/13 18:08,,
boisecounty.us,,,,county,,Idaho,"Boise County, ID -- Note added 7/5/13 18:27",http://www.boisecounty.us/,6/6/13 18:08,,
bolingbrook.com,,,,local,,Illinois,"Village of Boilingbrook, IL -- Note added 7/1/14 19:19",http://www.bolingbrook.com/,6/6/13 18:08,,
bolton.govoffice.com,,,,local,,Connecticut,"Town of Bolton, CT -- Note added 3/20/14 17:29",http://www.bolton.govoffice.com/,6/6/13 18:09,,
boltonnewyork.com,,,,local,,New York,"Town of Bolton, NY -- Note added 6/6/13 18:08",http://www.boltonnewyork.com/,6/6/13 18:08,,
boltonvt.com,,,,local,,Vermont,"Town of Bolton, VT -- Note added 8/13/14 5:27",http://boltonvt.com/,6/6/13 18:08,,
bonneausc.com,,,,local,,South Carolina,"Town of Bonneau, SC -- Note added 8/18/14 16:46",,6/6/13 18:08,,
bonnersprings.org,,,,local,,Kansas,"City of Bonner Springs, KS -- Note added 6/30/14 6:25",http://bonnersprings.org/,6/6/13 18:08,,
bonneterre.net,,,,local,,Missouri,"City of Bonne Terre, MO -- Note added 10/21/14 18:50",http://bonneterre.net/,6/6/13 18:08,,
books.missouri.org,,,,local,,Missouri,"Missouri Center for the Books, an affiliate of the national Center for the Book in the Library of Congress, which was established by law in 1977 to strengthen and celebrate the vital role of books, reading, and libraries in the cultural life of the nation. -- Note added 9/22/15 18:54",http://books.missouri.org/,6/6/13 18:08,,
boonecountyil.org,,,,county,,Illinois,"Boone County, IL -- Note added 7/1/14 19:20",http://www.boonecountyil.org/,6/6/13 18:08,,
boonecountyky.org,,,,county,,Kentucky,"Boone County, ky -- Note added 8/27/15 16:10",http://boonecountyky.org/,6/6/13 18:08,,
boonegov.com,,,,local,,Iowa,"Boone, IA -- Note added 8/25/15 19:58",http://boonegov.com/,6/6/13 18:08,,
boonton.org,,,,local,,New Jersey,"boonton, NJ -- Note added 9/15/15 18:56",http://www.boonton.org/,6/6/13 18:08,,
boontontownship.com,,,,local,,New Jersey,"Township of Boonton, Morris County, NJ -- Note added 8/18/14 16:54",http://boontontownship.com/,6/6/13 18:08,,
boonville-mo.org,,,,local,,Missouri,"City of Boonville, MO. -- Note added 9/4/15 13:47",http://boonville-mo.org/,6/6/13 18:08,,
bordentowntownship.com,,,,local,,New Jersey,"bordentown township, NJ -- Note added 9/15/15 18:56",http://www.bordentowntownship.com/,6/6/13 18:08,,
boro.dormont.pa.us,,,,local,,Pennsylvania,"Borough of Dormont, PA -- Note added 7/1/14 13:13",http://www.boro.dormont.pa.us/,6/6/13 18:08,,
boroughofnewtown.com,,,,local,,Pennsylvania,"Borough of Newtown, PA -- Note added 7/1/14 13:15",http://www.boroughofnewtown.com/,6/6/13 18:08,,
borough-of-flemington-municipal-government.eggzack.com,,,,local,,New Jersey,"Borough of Flemington, NJ -- Note added 1/15/14 12:18",http://borough-of-flemington-municipal-government.eggzack.com/,6/6/13 18:08,,
borough.castle-shannon.pa.us,,,,local,,Pennsylvania,"Castle Shannon Borough, PA -- Note added 3/20/14 17:34",http://borough.castle-shannon.pa.us/,6/6/13 18:08,,
borough.chambersburg.pa.us,,,,local,,Pennsylvania,"Borough of Chambersburg, PA -- Note added 7/1/14 13:19",http://borough.chambersburg.pa.us/,6/6/13 18:08,,
borough.emmaus.pa.us,,,,local,,Pennsylvania,"Borough of Emmaus, PA -- Note added 7/1/14 13:31",http://borough.emmaus.pa.us/,6/6/13 18:08,,
hanoverboroughyorkcountypa.info,,,,local,,Pennsylvania,"Borough of Hanover, PA -- Note added 7/1/14 13:35",http://www.hanoverboroughyorkcountypa.info/,6/6/13 18:08,,
borough.kenai.ak.us,,,,local,,Alaska,"Kenai Peninsula Borough, AK -- Note added 1/2/14 14:49",http://www.borough.kenai.ak.us/,6/6/13 18:08,,
borough.ketchikan.ak.us,,,,local,,Alaska,"Ketchikan Gateway Borough, AK -- Note added 6/7/13 12:42",http://borough.ketchikan.ak.us/,6/6/13 18:08,,
borough.mountpocono.pa.us,,,,local,,Pennsylvania,"Borough of Mount Pocono, PA -- Note added 7/1/14 13:40",http://borough.mountpocono.pa.us/,6/6/13 18:08,,
borough.shippensburg.pa.us,,,,local,,Pennsylvania,"Borough of Shippensburg, PA -- Note added 7/1/14 13:42",http://www.borough.shippensburg.pa.us/,6/6/13 18:08,,
borough.stroudsburg.pa.us,,,,local,,Pennsylvania,"Borough of Stroudsburg, PA -- Note added 7/1/14 13:43",http://borough.stroudsburg.pa.us/,6/6/13 18:08,,
boroughofambler.com,,,,local,,Pennsylvania,"Borough of Ambler, PA -- Note added 7/1/14 13:45",http://boroughofambler.com/,6/6/13 18:08,,
boroughofavalon.org,,,,local,,Pennsylvania,"Borough of Avalon, PA -- Note added 7/1/14 13:49",http://boroughofavalon.org/,6/6/13 18:08,,
boroughofbridgeport.com,,,,local,,Pennsylvania,"Borough of Bridgeport, PA -- Note added 7/1/14 13:51",http://boroughofbridgeport.com/,6/6/13 18:08,,
boroughofeastnewark.com,,,,local,,New Jersey,"Borough of East Newark, NJ -- Note added 9/15/15 18:57",http://www.boroughofeastnewark.com/,6/6/13 18:08,,
boroughofmarietta.com,,,,local,,Pennsylvania,"Borough of Marietta, PA -- Note added 7/1/14 13:55",http://boroughofmarietta.com,6/6/13 18:08,,
boroughofnorthvale.com,,,,local,,New Jersey,"borough of northvale, NJ -- Note added 9/15/15 18:57",http://boroughofnorthvale.com/,6/6/13 18:08,,
boroughofpalmyra.com,,,,local,,New Jersey,"borough of palmyra, NJ -- Note added 9/15/15 18:58",http://boroughofpalmyra.com/,6/6/13 18:08,,
boroughofroselle.com,,,,local,,New Jersey,"borough of roselle, NJ -- Note added 9/15/15 18:58",http://www.boroughofroselle.com/,6/6/13 18:08,,
boroughofwoodbine.net,,,,local,,New Jersey,"Borough of Woodbine, NJ -- Note added 12/4/13 19:12",http://boroughofwoodbine.net/,6/6/13 18:08,,
westmifflinborough.com,,,,local,,Pennsylvania,"Borough of West Mifflin, PA -- Note added 8/26/13 16:30",http://www.westmifflinborough.com/,6/6/13 18:09,,
borregowd.org,,,,local,,California,water district website -- Note added 3/4/15 22:13,http://borregowd.org,6/6/13 18:08,,
boscobelwisconsin.com,,,,local,,Wisconsin,"City of Boscobel, WI -- Note added 4/1/14 14:07",http://www.boscobelwisconsin.com/city/index.html,6/6/13 18:08,,
bosquecounty.us,,,,county,,Texas,"Bosque County, TX -- Note added 3/3/15 6:44",http://bosquecounty.us/,6/6/13 18:08,,
bossiercity.org,,,,local,,Louisiana,"Bossier City, La -- Note added 8/24/15 13:58",http://bossiercity.org/,6/6/13 18:08,,
bostonfed.org,,,,local,,Massachusetts,Federal Reserve Bank of Boston -- Note added 1/10/14 19:17,http://bostonfed.org/,1/10/14 19:17,,
bostonga.com,,,,local,,Georgia,"Boston, Ga -- Note added 8/25/15 14:11",http://bostonga.com/,6/6/13 18:08,,
botco.homestead.com,,,,county,,North Dakota,"Bottineau County, ND -- Note added 7/18/13 12:53",http://botco.homestead.com/,6/6/13 18:08,,
